
734	42014	78.47337	15.432865	0	0	0	52	1106
364	13186	14.170161	102.737206	0.111897	0.061458	0.050439	46	824
628	770	13.677108	90.235725	0	0	0	52	64
534	268	33.373825	75.6596	0.128381	0.071147	0.057234	53	45
534	268	39.41798	52.241	0.172934	0.119331	0.053603	53	45
534	354	26.683033	81.13771	0.143337	0.069136	0.074201	53	44
534	354	32.593025	66.05414	0.116615	0.059195	0.05742	53	44
534	354	31.31303	68.109	0.118584	0.066133	0.052451	53	44
534	268	57.985134	39.1068	0.087934	0.063116	0.024818	53	45
4142	268	55.764584	53.6688	0.097761	0.036508	0.061253	345	45
56329	2212	42.520966	75.092445	0.13114	0.052852	0.078288	909	79
534	268	35.975365	64.4812	0.220976	0.094537	0.126439	53	45
200	0	142857.14	0	0	0	0	100	0
792	2056	33.3667	53.58	0.136147	0.046241	0.089906	79	206
12162	948	40.820625	64.962	0.092777	0.04483	0.047947	608	79
200	0	111111.11	0	0	0	0	100	0
1706	268	33.510715	82.4782	0.100242	0.035219	0.065023	171	45
806	1068	34.11538	58.773853	0.130876	0.076688	0.054188	81	134
762	972	13.481727	144.84644	0.173733	0.10365	0.070083	76	97
168	0	166666.66	0	0	0	0	84	0
11314	268	59.06741	55.0936	0.119071	0.080057	0.039014	707	45
792	1050	28.470133	71.21129	0.208626	0.084232	0.124394	79	131
2516	268	21.311056	132.0696	0.106013	0.043507	0.062506	252	45
990	734	16.541084	151.95058	0.159822	0.084997	0.074825	83	92
17352	768	43.276234	56.30538	0.119527	0.068168	0.051359	789	55
842	268	42.601894	55.2804	0.132628	0.075687	0.056941	84	45
804	1060	15.832511	140.99371	0.096076	0.067775	0.028301	80	133
2516	354	14.211432	159.81013	0.11896	0.077543	0.041417	252	44
826	1248	28.050259	74.27143	0.180168	0.085383	0.094785	83	156
2516	268	24.231028	115.6902	0.085759	0.040589	0.04517	252	45
828	1346	55.184414	35.123146	0.059455	0.047983	0.011472	83	168
